"collection_schema","uid","name","desc","date","colors","emoji"
"collection","12","Nederlands","","1749381055","0",
"packs_schema","uid","name","desc","date","colors","collection","emoji"
"packs","70","top 0010","","1749381077","0","12",
"packs","71","top 0025","","1749381077","0","12",
"packs","72","top 0050","","1749381077","0","12",
"packs","73","top 0100","","1749381077","0","12",
"packs","74","top 0250","","1749381077","0","12",
"packs","75","top 0500","","1749381077","0","12",
"packs","76","top 1000","","1749381077","0","12",
"packs","77","top 2500","","1749381077","0","12",
"packs","78","top 5000","","1749381077","0","12",
"cards","8185","blijven",".","74","0","1749381835","**blijven** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/blijven/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=blijven)","0"
"cards","8186","boek",".","74","0","1749381835","**boek** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/boek/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=boek)","0"
"cards","8187","boven",".","74","0","1749381835","**boven** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/boven/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=boven)","0"
"cards","8188","bovendien",".","74","0","1749381835","**bovendien** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/bovendien/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=bovendien)","0"
"cards","8189","brengen",".","74","0","1749381835","**brengen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/brengen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=brengen)","0"
"cards","8190","dag",".","74","0","1749381835","**dag** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/dag/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=dag)","0"
"cards","8191","deel",".","74","0","1749381835","**deel** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/deel/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=deel)","0"
"cards","8192","delen",".","74","0","1749381835","**delen** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/delen/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=delen)","0"
"cards","8193","dezelfde",".","74","0","1749381835","**dezelfde** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/dezelfde/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=dezelfde)","0"
"cards","8194","dollar",".","74","0","1749381835","**dollar** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/dollar/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=dollar)","0"
"cards","8195","duidelijk",".","74","0","1749381835","**duidelijk** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/duidelijk/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=duidelijk)","0"
"cards","8196","echt",".","74","0","1749381835","**echt** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/echt/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=echt)","0"
"cards","8197","echter",".","74","0","1749381835","**echter** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/echter/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=echter)","0"
"cards","8198","economisch",".","74","0","1749381835","**economisch** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/economisch/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=economisch)","0"
"cards","8199","eens",".","74","0","1749381835","**eens** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/eens/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=eens)","0"
"cards","8200","elk",".","74","0","1749381835","**elk** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/elk/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=elk)","0"
"cards","8201","elkaar",".","74","0","1749381835","**elkaar** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/elkaar/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=elkaar)","0"
"cards","8202","enig",".","74","0","1749381835","**enig** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/enig/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=enig)","0"
"cards","8203","erg",".","74","0","1749381835","**erg** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/erg/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=erg)","0"
"cards","8204","even",".","74","0","1749381835","**even** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/even/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=even)","0"
"cards","8205","geld",".","74","0","1749381835","**geld** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/geld/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=geld)","0"
"cards","8206","geleden",".","74","0","1749381835","**geleden** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/geleden/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=geleden)","0"
"cards","8207","geval",".","74","0","1749381835","**geval** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/geval/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=geval)","0"
"cards","8208","geven",".","74","0","1749381835","**geven** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/geven/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=geven)","0"
"cards","8209","gewoon",".","74","0","1749381835","**gewoon** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/gewoon/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=gewoon)","0"
"cards","8210","groep",".","74","0","1749381835","**groep** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/groep/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=groep)","0"
"cards","8211","hand",".","74","0","1749381835","**hand** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/hand/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=hand)","0"
"cards","8212","helemaal",".","74","0","1749381835","**helemaal** translate [ uitmuntend ](https://www.uitmuntend.de/woerterbuch/helemaal/) [ google ](https://translate.google.com/?sl=nl&tl=de&op=translate&text=helemaal)","0"
